citation_key,entry_type,registry_year,registry_title,registry_venue,registry_doi,registry_url,registry_verification_status,registry_metadata_source_url,source_context_count,session69_verification_status,session69_checked_source_url,session69_checked_fields,manuscript_use_claim_status,remaining_submission_check
alaa2025medicalconstruct,inproceedings,2025,Position: Medical Large Language Model Benchmarks Should Prioritize Construct Validity,Proceedings of the 42nd International Conference on Machine Learning,,https://proceedings.mlr.press/v267/alaa25a.html,primary_pmlr_page,https://proceedings.mlr.press/v267/alaa25a.html,1,spot_checked_primary_source,https://proceedings.mlr.press/v267/alaa25a.html,title;authors;year;venue;volume;pages;medical_benchmark_construct_validity_use_claim,supported_for_medical_ai_benchmark_construct_validity_positioning,confirm final ACM style for PMLR proceedings entries
arjovsky2019irm,misc,2019,Invariant Risk Minimization,,,https://arxiv.org/abs/1907.02893,primary_arxiv_preprint,https://arxiv.org/abs/1907.02893,1,spot_checked_primary_source,https://arxiv.org/abs/1907.02893,title;authors;submission_date;arxiv_id;invariant_risk_use_claim,supported_for_invariant_risk_baseline_positioning,confirm venue style and capitalization against final bibliography format
baai2026bgem3,misc,2026,{BAAI/bge-m3} Model Card,,,https://huggingface.co/BAAI/bge-m3,primary_model_card,https://huggingface.co/BAAI/bge-m3,1,spot_checked_primary_source,https://huggingface.co/BAAI/bge-m3,model_id;organization;license;multilinguality;long_context_claim,supported_for_bge_m3_multilingual_primary_feature_contract,capture exact model revision/hash if required by venue reproducibility checklist
baai2026bgesmallzh,misc,2026,{BAAI/bge-small-zh-v1.5} Model Card,,,https://huggingface.co/BAAI/bge-small-zh-v1.5,primary_model_card,https://huggingface.co/BAAI/bge-small-zh-v1.5,1,spot_checked_primary_source,https://huggingface.co/BAAI/bge-small-zh-v1.5,model_id;organization;language_tag;model_list_language;legacy_caveat_use_claim,supported_for_old_chinese_bge_feature_contract_caveat,capture exact model revision/hash if required by venue reproducibility checklist
baevski2020wav2vec2,misc,2020,{wav2vec 2.0}: A Framework for Self-Supervised Learning of Speech Representations,,,https://arxiv.org/abs/2006.11477,primary_arxiv_preprint,https://arxiv.org/abs/2006.11477,1,spot_checked_primary_source,https://arxiv.org/abs/2006.11477,title;authors;submission_date;arxiv_id;speech_foundation_use_claim,supported_for_wav2vec2_speech_foundation_sensitivity_contract,confirm venue style and capitalization against final bibliography format
bean2025measuring,inproceedings,2025,Measuring What Matters: Construct Validity in Large Language Model Benchmarks,Advances in Neural Information Processing Systems 38,10.52202/085713-0590,https://proceedings.neurips.cc/paper_files/paper/2025/hash/1967e0fc3aa6cbbace562f5cb8e3954e-Abstract-Datasets_and_Benchmarks_Track.html,primary_neurips_page,https://proceedings.neurips.cc/paper_files/paper/2025/hash/1967e0fc3aa6cbbace562f5cb8e3954e-Abstract-Datasets_and_Benchmarks_Track.html,1,spot_checked_primary_source,https://proceedings.neurips.cc/paper_files/paper/2025/hash/1967e0fc3aa6cbbace562f5cb8e3954e-Abstract-Datasets_and_Benchmarks_Track.html,title;authors;year;venue;doi;llm_benchmark_construct_validity_use_claim,supported_for_general_llm_benchmark_construct_validity_positioning,confirm final ACM style for long NeurIPS author list
bulut2017detecting,article,2017,"Detecting Multidimensional Differential Item Functioning with the Multiple Indicators Multiple Causes Model, the Item Response Theory Likelihood Ratio Test, and Logistic Regression",Frontiers in Education,10.3389/feduc.2017.00051,https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2017.00051/full,primary_publisher_page,https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2017.00051/full,1,spot_checked_primary_source,https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2017.00051/full,title;authors;year;journal;volume;doi;dif_method_use_claim,supported_for_irt_lr_and_logistic_dif_method_context,confirm Frontiers article-number formatting against target venue style
burdisso2024daicprompts,inproceedings,2024,{DAIC-WOZ}: On the Validity of Using the Therapist's Prompts in Automatic Depression Detection from Clinical Interviews,Proceedings of the 6th Clinical Natural Language Processing Workshop,10.18653/v1/2024.clinicalnlp-1.8,https://aclanthology.org/2024.clinicalnlp-1.8/,primary_acl_anthology,https://aclanthology.org/2024.clinicalnlp-1.8/,1,spot_checked_primary_source,https://aclanthology.org/2024.clinicalnlp-1.8/;https://doi.org/10.18653/v1/2024.clinicalnlp-1.8,title;authors;year;venue;pages;doi;therapist_prompt_use_claim,supported_for_daic_prompt_validity_and_protocol_leakage_positioning,confirm venue style and capitalization against final bibliography format
cai2020modma,article,2022,A Multi-modal Open Dataset for Mental-disorder Analysis,Scientific Data,10.1038/s41597-022-01211-x,https://www.nature.com/articles/s41597-022-01211-x,primary_publisher_page_and_official_dataset_page,https://www.nature.com/articles/s41597-022-01211-x,1,spot_checked_primary_source,https://www.nature.com/articles/s41597-022-01211-x;https://reshare.ukdataservice.ac.uk/854301/;https://arxiv.org/abs/2002.09283,title;authors;year;journal;volume;article_number;doi;dataset_access_page;modma_use_claim,supported_for_modma_controlled_task_dataset_context_after_switch_to_scientific_data_descriptor,citation key still encodes the original 2020 preprint year; rename only if final manuscript citation-key hygiene requires it
chalmers2012mirt,article,2012,{mirt}: A Multidimensional Item Response Theory Package for the {R} Environment,Journal of Statistical Software,10.18637/jss.v048.i06,https://www.jstatsoft.org/article/view/v048i06,primary_jss_page,https://www.jstatsoft.org/article/view/v048i06,1,spot_checked_primary_source,https://www.jstatsoft.org/article/view/v048i06,title;author;year;journal;volume;issue;pages;doi;mirt_runtime_use_claim,supported_for_mirt_irt_runtime_citation,confirm venue style and capitalization against final bibliography format
chalmers2026mirtmultiplegroup,misc,2026,{multipleGroup}: Multiple Group Estimation,,,https://philchalmers.github.io/mirt/html/multipleGroup.html,official_package_documentation,https://philchalmers.github.io/mirt/html/multipleGroup.html,1,spot_checked_primary_source,https://philchalmers.github.io/mirt/html/multipleGroup.html,documentation_title;author;access_year;multiple_group_arguments;anchor_invariance_use_claim,supported_for_mv13_multiple_group_irt_workflow_documentation,capture package version/session info if final reproducibility appendix requires it
chen2022wavlm,misc,2022,{WavLM}: Large-Scale Self-Supervised Pre-Training for Full Stack Speech Processing,,,https://arxiv.org/abs/2110.13900,primary_arxiv_preprint,https://arxiv.org/abs/2110.13900,1,spot_checked_primary_source,https://arxiv.org/abs/2110.13900,title;authors;submission_date;arxiv_id;doi;speech_foundation_use_claim,supported_for_wavlm_speech_foundation_positioning_after_author_list_correction,confirm whether final style should cite arXiv or IEEE JSTSP version
chen2024gnnsda,article,2024,Semi-Supervised Domain Adaptation for Major Depressive Disorder Detection,IEEE Transactions on Multimedia,10.1109/TMM.2023.3312917,https://doi.org/10.1109/TMM.2023.3312917,doi_and_ieee_metadata,https://doi.org/10.1109/TMM.2023.3312917,1,spot_checked_primary_source,https://doi.org/10.1109/TMM.2023.3312917,title;authors;year;venue;pages;doi;gnn_sda_baseline_use_claim,supported_for_mv26_close_depression_specific_baseline_positioning,confirm final IEEE page metadata before submission
chen2025leavingnone,article,2025,Leaving None Behind: Data-Free Domain Incremental Learning for Major Depressive Disorder Detection,IEEE Transactions on Affective Computing,10.1109/TAFFC.2024.3469189,https://ieeexplore.ieee.org/document/10696948/,ieee_metadata_and_dblp_record,https://dblp.org/rec/journals/taffco/ChenGHH25,0,spot_checked_primary_source,https://dblp.org/rec/journals/taffco/ChenGHH25;https://doi.org/10.1109/TAFFC.2024.3469189,title;authors;year;journal;volume;issue;pages;doi;domain_incremental_use_claim,supported_for_close_domain_incremental_mdd_baseline_positioning,confirm final IEEE page display if target venue requires publisher-rendered metadata
chen2025scd,article,2026,Towards Stable Cross-Domain Depression Recognition under Missing Modalities,Pattern Recognition,10.1016/j.patcog.2026.113367,https://doi.org/10.1016/j.patcog.2026.113367,primary_publisher_doi_metadata,https://doi.org/10.1016/j.patcog.2026.113367,1,spot_checked_primary_source,https://doi.org/10.1016/j.patcog.2026.113367,title;authors;year;journal;volume;article_number;doi;scd_mllm_use_claim,supported_for_generic_cross_domain_missing_modality_positioning,confirm final publisher page display if venue requires publisher page screenshots rather than DOI metadata
deduro2026nlppsychometrics,misc,2026,Natural Language Processing Psychometrics,,10.48550/arXiv.2608.07316,https://arxiv.org/abs/2608.07316,primary_arxiv_preprint,https://arxiv.org/abs/2608.07316,1,spot_checked_primary_source,https://arxiv.org/abs/2608.07316,title;authors;submission_date;arxiv_id;doi;nlp_psychometrics_use_claim,supported_for_emerging_nlp_psychometrics_framing,check for later arXiv version or peer-reviewed venue before submission
delamain2024measurement,article,2024,Measurement Invariance and Differential Item Functioning of the {PHQ-9} and {GAD-7} in a Large Primary Care Sample,Journal of Affective Disorders,10.1016/j.jad.2023.11.026,https://pubmed.ncbi.nlm.nih.gov/37989437/,pubmed_and_publisher_metadata,https://pubmed.ncbi.nlm.nih.gov/37989437/,2,spot_checked_primary_source,https://doi.org/10.1016/j.jad.2023.11.026;https://pubmed.ncbi.nlm.nih.gov/37989437/,title;authors;year;journal;volume;pages;doi;phq_gad_invariance_use_claim,supported_for_active_phq9_gad7_measurement_invariance_and_dif_context,confirm final publisher page display if target venue requires publisher-rendered metadata
freiesleben2025benchmarking,misc,2025,The Benchmarking Epistemology: Construct Validity for Evaluating Machine Learning Models,,10.48550/arXiv.2510.23191,https://arxiv.org/abs/2510.23191,primary_arxiv_preprint,https://arxiv.org/abs/2510.23191,1,spot_checked_primary_source,https://arxiv.org/abs/2510.23191,title;authors;submission_date;arxiv_id;doi;ml_benchmark_construct_validity_use_claim,supported_for_general_ml_benchmark_construct_validity_positioning,check for later peer-reviewed venue before submission
fu2025mpddchallenge,inproceedings,2025,The First {MPDD} Challenge: Multimodal Personality-aware Depression Detection,Proceedings of the 33rd ACM International Conference on Multimedia,10.1145/3746027.3762020,https://hacilab.github.io/MPDDChallenge.github.io/,official_challenge_page_and_acm_metadata,https://hacilab.github.io/MPDDChallenge.github.io/,2,spot_checked_primary_source,https://hacilab.github.io/MPDDChallenge.github.io/;https://doi.org/10.1145/3746027.3762020,title;authors;year;venue;pages;doi;challenge_metrics;mpdd_use_claim,supported_for_mpdd_challenge_and_individual_difference_benchmark_framing_after_title_correction,confirm final ACM style and whether to preserve author diacritics in BibTeX
fu2026p3hf,article,2026,Personality-guided Public-Private Domain Disentangled Hypergraph-Former Network for Multimodal Depression Detection,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i3.37159,https://ojs.aaai.org/index.php/AAAI/article/view/37159,primary_aaai_page,https://ojs.aaai.org/index.php/AAAI/article/view/37159,1,spot_checked_primary_source,https://ojs.aaai.org/index.php/AAAI/article/view/37159;https://doi.org/10.1609/aaai.v40i3.37159,title;authors;year;venue;volume;issue;pages;doi;personality_aware_use_claim,supported_for_personality_aware_mpdd_young_method_positioning,confirm AAAI bibliography style for proceedings-as-journal entries
galenkamp2017measurement,article,2017,Measurement Invariance Testing of the {PHQ-9} in a Multi-Ethnic Population in Europe: The {HELIUS} Study,BMC Psychiatry,10.1186/s12888-017-1506-9,https://pmc.ncbi.nlm.nih.gov/articles/PMC5655879/,primary_fulltext_pmc,https://pmc.ncbi.nlm.nih.gov/articles/PMC5655879/,1,spot_checked_primary_source,https://bmcpsychiatry.biomedcentral.com/articles/10.1186/s12888-017-1506-9;https://doi.org/10.1186/s12888-017-1506-9,title;authors;year;journal;volume;article_number;doi;ethnicity_language_mode_invariance_use_claim,supported_for_classical_phq9_measurement_invariance_template,confirm BMC article-number formatting against target venue style
ganin2016domain,article,2016,Domain-Adversarial Training of Neural Networks,Journal of Machine Learning Research,,https://jmlr.org/papers/v17/15-239.html,primary_publisher_page,https://jmlr.org/papers/v17/15-239.html,1,spot_checked_primary_source,https://jmlr.org/papers/v17/15-239.html,title;authors;year;journal;volume;issue;pages;domain_adversarial_use_claim,supported_for_dann_representation_alignment_baseline_positioning,confirm author spelling from JMLR BibTeX during final style pass
