citation_key,entry_type,authors,year,title,venue,doi,url,verification_status,metadata_source_url,source_context_count,source_context_tables,source_context_ids,source_urls_in_context,notes
baai2026bgem3,misc,{Beijing Academy of Artificial Intelligence},2026,{BAAI/bge-m3} Model Card,,,https://huggingface.co/BAAI/bge-m3,primary_model_card,https://huggingface.co/BAAI/bge-m3,1,literature_positioning,bge_m3_model_card,https://huggingface.co/BAAI/bge-m3,Model-card source for the multilingual BGE-M3 replacement contract.
baai2026bgesmallzh,misc,{Beijing Academy of Artificial Intelligence},2026,{BAAI/bge-small-zh-v1.5} Model Card,,,https://huggingface.co/BAAI/bge-small-zh-v1.5,primary_model_card,https://huggingface.co/BAAI/bge-small-zh-v1.5,1,literature_positioning,bge_small_zh_model_card,https://huggingface.co/BAAI/bge-small-zh-v1.5,Model-card source for the Chinese-only BGE v1.5 feature-contract caveat.
bulut2017detecting,article,Okan Bulut and Youngsuk Suh,2017,"Detecting Multidimensional Differential Item Functioning with the Multiple Indicators Multiple Causes Model, the Item Response Theory Likelihood Ratio Test, and Logistic Regression",Frontiers in Education,10.3389/feduc.2017.00051,https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2017.00051/full,primary_publisher_page,https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2017.00051/full,1,literature_positioning,irt_lr_dif_frontiers_2017,https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2017.00051/full,Corrects an earlier stale source hint for this URL.
cai2020modma,misc,Haoyu Cai and Zhepeng Yuan and Yafeng Gao and Shaojiang Sun and Na Li and Fushuai Tian and Hongbo Xiao and Jun Li,2020,A Multi-modal Open Dataset for Mental-disorder Analysis,,,https://reshare.ukdataservice.ac.uk/854301/,official_dataset_page_and_arxiv_metadata,https://reshare.ukdataservice.ac.uk/854301/,1,source_context_data_governance,modma,https://reshare.ukdataservice.ac.uk/854301/,MODMA controlled-task dataset citation.
chalmers2012mirt,article,R. Philip Chalmers,2012,{mirt}: A Multidimensional Item Response Theory Package for the {R} Environment,Journal of Statistical Software,10.18637/jss.v048.i06,https://www.jstatsoft.org/article/view/v048i06,primary_jss_page,https://www.jstatsoft.org/article/view/v048i06,1,literature_positioning,mirt_jss_2012,https://www.jstatsoft.org/article/view/v048i06,External IRT runtime source.
chalmers2026mirtmultiplegroup,misc,R. Philip Chalmers and mirt contributors,2026,{multipleGroup}: Multiple Group Estimation,,,https://philchalmers.github.io/mirt/html/multipleGroup.html,official_package_documentation,https://philchalmers.github.io/mirt/html/multipleGroup.html,1,literature_positioning,mirt_multiplegroup_docs,https://philchalmers.github.io/mirt/html/multipleGroup.html,Implementation documentation for MV13 multiple-group IRT workflow.
chen2025scd,article,Jiuyi Chen and Mingkui Tan and Haifeng Lu and Qiuna Xu and Zhihua Wang and Runhao Zeng and Xiping Hu,2026,Towards Stable Cross-Domain Depression Recognition under Missing Modalities,Pattern Recognition,10.1016/j.patcog.2026.113367,https://doi.org/10.1016/j.patcog.2026.113367,primary_publisher_doi_metadata,https://doi.org/10.1016/j.patcog.2026.113367,1,literature_positioning,scd_mllm_2025,https://doi.org/10.1016/j.patcog.2026.113367,Generic cross-domain multimodal robustness positioning source; updated from arXiv preprint to final Pattern Recognition article.
deduro2026nlppsychometrics,misc,Edoardo Sebastiano De Duro and Emma Franchino and Massimo Stella,2026,Natural Language Processing Psychometrics,,10.48550/arXiv.2608.07316,https://arxiv.org/abs/2608.07316,primary_arxiv_preprint,https://arxiv.org/abs/2608.07316,1,literature_positioning,nlp_psychometrics_2026,https://arxiv.org/abs/2608.07316,Emerging NLP psychometrics framing source.
delamain2024measurement,article,Henry Delamain and Joshua E. J. Buckman and Joshua Stott and Ann John and Sonia Singh and Stephen Pilling and Rob Saunders,2024,Measurement Invariance and Differential Item Functioning of the {PHQ-9} and {GAD-7} in a Large Primary Care Sample,Journal of Affective Disorders,10.1016/j.jad.2023.11.026,https://pubmed.ncbi.nlm.nih.gov/37989437/,pubmed_and_publisher_metadata,https://pubmed.ncbi.nlm.nih.gov/37989437/,2,literature_positioning;source_context_data_governance,phq_dif_jad_2024;phq_measurement_invariance,https://pubmed.ncbi.nlm.nih.gov/37989437/,Active clinical-measurement DIF context.
fu2025mpddchallenge,inproceedings,Changzeng Fu and Zelin Fu and Qi Zhang and Xinhe Kuang and Jiacheng Dong and Kaifeng Su and Yikai Su and Wenbo Shi and Junfeng Yao and Yuliang Zhao and Shiqi Zhao and Jiadong Wang and Siyang Song and Chaoran Liu and Yuichiro Yoshikawa and Bjorn W. Schuller and Hiroshi Ishiguro,2025,The First Multimodal Personality-aware Depression Detection Challenge,Proceedings of the 33rd ACM International Conference on Multimedia,10.1145/3746027.3762020,https://hacilab.github.io/MPDDChallenge.github.io/,official_challenge_page_and_acm_metadata,https://hacilab.github.io/MPDDChallenge.github.io/,2,literature_positioning;source_context_data_governance,mpdd_challenge_2025;mpdd,https://hacilab.github.io/MPDDChallenge.github.io/,MPDD benchmark and individual-difference challenge framing.
fu2026p3hf,article,Changzeng Fu and Shiwen Zhao and Yunze Zhang and Zhongquan Jian and Shiqi Zhao and Chaoran Liu,2026,Personality-guided Public-Private Domain Disentangled Hypergraph-Former Network for Multimodal Depression Detection,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i3.37159,https://ojs.aaai.org/index.php/AAAI/article/view/37159,primary_aaai_page,https://ojs.aaai.org/index.php/AAAI/article/view/37159,1,literature_positioning,p3hf_aaai_2026,https://ojs.aaai.org/index.php/AAAI/article/view/37159,Personality-aware MPDD-Young method positioning source.
galenkamp2017measurement,article,Henrike Galenkamp and Karien Stronks and Marieke B. Snijder and Eske M. Derks,2017,Measurement Invariance Testing of the {PHQ-9} in a Multi-Ethnic Population in Europe: The {HELIUS} Study,BMC Psychiatry,10.1186/s12888-017-1506-9,https://pmc.ncbi.nlm.nih.gov/articles/PMC5655879/,primary_fulltext_pmc,https://pmc.ncbi.nlm.nih.gov/articles/PMC5655879/,1,literature_positioning,phq9_invariance_helius_2017,https://pmc.ncbi.nlm.nih.gov/articles/PMC5655879/,Classical PHQ-9 invariance template.
gratch2014distress,inproceedings,Jonathan Gratch and Ron Artstein and Gale M. Lucas and Giota Stratou and Stefan Scherer and Angela Nazarian and Rachel Wood and Jill Boberg and David DeVault and Stacy Marsella and David R. Traum and Skip Rizzo and Louis-Philippe Morency,2014,The Distress Analysis Interview Corpus of Human and Computer Interviews,Proceedings of the Ninth International Conference on Language Resources and Evaluation (LREC'14),,https://aclanthology.org/L14-1421/,primary_acl_anthology,https://aclanthology.org/L14-1421/,2,literature_positioning;source_context_data_governance,daic_lrec_2014;daic,https://aclanthology.org/L14-1421/,DAIC corpus origin and interview-modality citation.
ishikawa2026multiprobe,misc,Takehiro Ishikawa and Jon Duke,2026,A Multi-Probe Audit of Clinical-Interview Depression Detection Benchmarks,,10.48550/arXiv.2605.23977,https://arxiv.org/abs/2605.23977,primary_arxiv_preprint,https://arxiv.org/abs/2605.23977,1,literature_positioning,multi_probe_audit_2026,https://arxiv.org/abs/2605.23977,Nearby benchmark-audit positioning source; cite as preprint.
li2025mirror,misc,Tong Li and Rasiq Hussain and Mehak Gupta and Joshua R. Oltmanns,2025,"{""Mirror""} Language {AI} Models of Depression are Criterion-Contaminated",,10.48550/arXiv.2508.05830,https://arxiv.org/abs/2508.05830,primary_arxiv_preprint,https://arxiv.org/abs/2508.05830,1,literature_positioning,mirror_criterion_contamination_2025,https://arxiv.org/abs/2508.05830,Criterion-contamination and mirror/non-mirror interview positioning source.
ma2021phqhamd,article,Simeng Ma and Jing Yang and Baofeng Yang and Li Kang and Peng Wang and Nannan Zhang and Wei Wang and Xiaoyu Zong and Ying Wang and Hong Bai and Qian Guo and Li Yao and Lili Fang and Zhening Liu,2021,The Patient Health Questionnaire-9 vs. the Hamilton Rating Scale for Depression in Assessing Major Depressive Disorder,Frontiers in Psychiatry,10.3389/fpsyt.2021.747139,https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2021.747139/full,primary_publisher_page,https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2021.747139/full,2,literature_positioning;source_context_data_governance,phq_hamd_irt_2021;phq_hamd_measurement,https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2021.747139/full,Scale-specific PHQ/HAMD psychometric motivation.
mandal2025questmf,inproceedings,Aishik Mandal and Dana Atzil-Slonim and Thamar Solorio and Iryna Gurevych,2025,Enhancing Depression Detection via Question-wise Modality Fusion,Proceedings of the 10th Workshop on Computational Linguistics and Clinical Psychology (CLPsych 2025),10.18653/v1/2025.clpsych-1.4,https://aclanthology.org/2025.clpsych-1.4/,primary_acl_anthology,https://aclanthology.org/2025.clpsych-1.4/,1,literature_positioning,questmf_clpsych_2025,https://aclanthology.org/2025.clpsych-1.4/,Question-wise E-DAIC item-level multimodal positioning source.
nguyen2022improving,inproceedings,Thong Nguyen and Andrew Yates and Ayah Zirikly and Bart Desmet and Arman Cohan,2022,Improving the Generalizability of Depression Detection by Leveraging Clinical Questionnaires,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),10.18653/v1/2022.acl-long.578,https://aclanthology.org/2022.acl-long.578/,primary_acl_anthology,https://aclanthology.org/2022.acl-long.578/,1,literature_positioning,questionnaire_grounding_acl_2022,https://aclanthology.org/2022.acl-long.578/,Questionnaire-grounded depression detection prior.
patel2019measurement,article,Jay S. Patel and Yena Oh and Kevin L. Rand and Wei Wu and Melissa A. Cyders and Kurt Kroenke and Jesse C. Stewart,2019,"Measurement Invariance of the Patient Health Questionnaire-9 ({PHQ-9}) Depression Screener in U.S. Adults Across Sex, Race/Ethnicity, and Education Level: {NHANES} 2005-2016",Depression and Anxiety,10.1002/da.22940,https://pmc.ncbi.nlm.nih.gov/articles/PMC6736700/,primary_fulltext_pmc,https://pmc.ncbi.nlm.nih.gov/articles/PMC6736700/,1,literature_positioning,phq9_measurement_invariance_us_2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6736700/,PHQ-9 sociodemographic invariance source.
pdchrepository2026,misc,{PDCH Dataset Authors},2026,{PDCH}: A Real-world Depression Consultation Dataset,,,https://github.com/Miraclemarvel55/PDCH,official_repository_page,https://github.com/Miraclemarvel55/PDCH,2,literature_positioning;source_context_data_governance,pdch_dataset;pdch,https://github.com/Miraclemarvel55/PDCH,Repository source for PDCH consultation/HAMD data until a final venue-specific dataset-paper citation is selected.
samejima1969graded,book,Fumiko Samejima,1969,Estimation of Latent Ability Using a Response Pattern of Graded Scores,Psychometric Society,,https://www.psychometricsociety.org/sites/main/files/file-attachments/mn17.pdf,primary_monograph_pdf,https://www.psychometricsociety.org/sites/main/files/file-attachments/mn17.pdf,1,literature_positioning,samejima_graded_response_1969,https://www.psychometricsociety.org/sites/main/files/file-attachments/mn17.pdf,Ordinal graded-response model source.
shen2022automatic,inproceedings,Ying Shen and Huiyu Yang and Lin Lin,2022,Automatic Depression Detection: An Emotional Audio-Textual Corpus and a {GRU/BiLSTM}-based Model,"ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10.1109/ICASSP43922.2022.9746569,https://arxiv.org/abs/2202.08210,primary_arxiv_and_ieee_metadata,https://arxiv.org/abs/2202.08210,1,source_context_data_governance,eatd_corpus,https://github.com/Fancy-Block/EATD-Corpus,EATD-Corpus dataset citation; source table currently points to a repository mirror.
uscict2026daic,misc,{USC Institute for Creative Technologies},2026,{DAIC-WOZ} and Extended {DAIC} Download Page,,,https://dcapswoz.ict.usc.edu/,official_dataset_page,https://dcapswoz.ict.usc.edu/,2,literature_positioning;source_context_data_governance,daic_official_access;e_daic_daic,https://dcapswoz.ict.usc.edu/,Use for restricted-access and release-boundary wording.
wang2024multilinguale5,misc,Liang Wang and Nan Yang and Xiaolong Huang and Linjun Yang and Rangan Majumder and Furu Wei,2024,Multilingual {E5} Text Embeddings: A Technical Report,,,https://huggingface.co/intfloat/multilingual-e5-base,primary_model_card,https://huggingface.co/intfloat/multilingual-e5-base,1,literature_positioning,multilingual_e5_model_card,https://huggingface.co/intfloat/multilingual-e5-base,Second multilingual encoder sensitivity source.
zhang2025interviewer,inproceedings,Enshi Zhang and Christian Poellabauer,2025,Mitigating Interviewer Bias in Multimodal Depression Detection: An Approach with Adversarial Learning and Contextual Positional Encoding,Findings of the Association for Computational Linguistics: EMNLP 2025,10.18653/v1/2025.findings-emnlp.650,https://aclanthology.org/2025.findings-emnlp.650/,primary_acl_anthology,https://aclanthology.org/2025.findings-emnlp.650/,1,literature_positioning,interviewer_bias_emnlp_2025,https://aclanthology.org/2025.findings-emnlp.650/,Protocol and interviewer-bias positioning source.
zhang2025red,inproceedings,Linhai Zhang and Ziyang Gao and Deyu Zhou and Yulan He,2025,Explainable Depression Detection in Clinical Interviews with Personalized Retrieval-Augmented Generation,Findings of the Association for Computational Linguistics: ACL 2025,10.18653/v1/2025.findings-acl.517,https://aclanthology.org/2025.findings-acl.517/,primary_acl_anthology,https://aclanthology.org/2025.findings-acl.517/,1,literature_positioning,red_acl_2025,https://aclanthology.org/2025.findings-acl.517/,Evidence-retrieval explanation positioning source.
zhou2026depression,article,Jia Zhou and Jia Hu and Yi Zhou and Ling Zhang and Yuan Feng and Lei Xiao and Le Chen and Xu Zhou and Jingjing Meng and Linghui Meng and Gang Wang,2026,Depression Rating Scales Demonstrate Significant Correlations but Systematic Differences: A Multicenter Prospective Cohort Study Using Equipercentile Linking,Journal of Clinical Epidemiology,10.1016/j.jclinepi.2026.112207,https://www.jclinepi.com/article/S0895-4356(26)00082-X/abstract,publisher_and_pubmed_metadata,https://www.jclinepi.com/article/S0895-4356(26)00082-X/abstract,1,literature_positioning,scale_linking_jclinepi_2026,https://www.jclinepi.com/article/S0895-4356(26)00082-X/abstract,Cross-scale linking and systematic scale-difference motivation.
zou2023cmdc,article,Bochao Zou and Jiali Han and Yingxue Wang and Rui Liu and Shenghui Zhao and Lei Feng and Xiangwen Lyu and Huimin Ma,2023,Semi-structural Interview-based Chinese Multimodal Depression Corpus Towards Automatic Preliminary Screening of Depressive Disorders,IEEE Transactions on Affective Computing,10.1109/TAFFC.2022.3181210,https://doi.org/10.1109/TAFFC.2022.3181210,doi_publisher_metadata,https://doi.org/10.1109/TAFFC.2022.3181210,1,source_context_data_governance,cmdc,https://doi.org/10.1109/TAFFC.2022.3181210,CMDC dataset citation.
