probe_id,y_true,y_pred,count
dataset_id_audio_wavlm_6way,CMDC,CMDC,77
dataset_id_audio_wavlm_6way,CMDC,E-DAIC,0
dataset_id_audio_wavlm_6way,CMDC,EATD,0
dataset_id_audio_wavlm_6way,CMDC,MODMA,0
dataset_id_audio_wavlm_6way,CMDC,MPDD,0
dataset_id_audio_wavlm_6way,CMDC,PDCH,0
dataset_id_audio_wavlm_6way,E-DAIC,CMDC,0
dataset_id_audio_wavlm_6way,E-DAIC,E-DAIC,219
dataset_id_audio_wavlm_6way,E-DAIC,EATD,0
dataset_id_audio_wavlm_6way,E-DAIC,MODMA,0
dataset_id_audio_wavlm_6way,E-DAIC,MPDD,0
dataset_id_audio_wavlm_6way,E-DAIC,PDCH,0
dataset_id_audio_wavlm_6way,EATD,CMDC,3
dataset_id_audio_wavlm_6way,EATD,E-DAIC,0
dataset_id_audio_wavlm_6way,EATD,EATD,156
dataset_id_audio_wavlm_6way,EATD,MODMA,1
dataset_id_audio_wavlm_6way,EATD,MPDD,2
dataset_id_audio_wavlm_6way,EATD,PDCH,0
dataset_id_audio_wavlm_6way,MODMA,CMDC,0
dataset_id_audio_wavlm_6way,MODMA,E-DAIC,1
dataset_id_audio_wavlm_6way,MODMA,EATD,0
dataset_id_audio_wavlm_6way,MODMA,MODMA,51
dataset_id_audio_wavlm_6way,MODMA,MPDD,0
dataset_id_audio_wavlm_6way,MODMA,PDCH,0
dataset_id_audio_wavlm_6way,MPDD,CMDC,0
dataset_id_audio_wavlm_6way,MPDD,E-DAIC,0
dataset_id_audio_wavlm_6way,MPDD,EATD,1
dataset_id_audio_wavlm_6way,MPDD,MODMA,0
dataset_id_audio_wavlm_6way,MPDD,MPDD,174
dataset_id_audio_wavlm_6way,MPDD,PDCH,0
dataset_id_audio_wavlm_6way,PDCH,CMDC,0
dataset_id_audio_wavlm_6way,PDCH,E-DAIC,0
dataset_id_audio_wavlm_6way,PDCH,EATD,0
dataset_id_audio_wavlm_6way,PDCH,MODMA,0
dataset_id_audio_wavlm_6way,PDCH,MPDD,0
dataset_id_audio_wavlm_6way,PDCH,PDCH,99
dataset_id_audio_wav2vec2_3way,CMDC,CMDC,77
dataset_id_audio_wav2vec2_3way,CMDC,E-DAIC,0
dataset_id_audio_wav2vec2_3way,CMDC,MODMA,0
dataset_id_audio_wav2vec2_3way,E-DAIC,CMDC,0
dataset_id_audio_wav2vec2_3way,E-DAIC,E-DAIC,219
dataset_id_audio_wav2vec2_3way,E-DAIC,MODMA,0
dataset_id_audio_wav2vec2_3way,MODMA,CMDC,0
dataset_id_audio_wav2vec2_3way,MODMA,E-DAIC,1
dataset_id_audio_wav2vec2_3way,MODMA,MODMA,51
dataset_id_audio_egemaps_cmdc_pdch_modma,CMDC,CMDC,76
dataset_id_audio_egemaps_cmdc_pdch_modma,CMDC,MODMA,1
dataset_id_audio_egemaps_cmdc_pdch_modma,CMDC,PDCH,0
dataset_id_audio_egemaps_cmdc_pdch_modma,MODMA,CMDC,1
dataset_id_audio_egemaps_cmdc_pdch_modma,MODMA,MODMA,51
dataset_id_audio_egemaps_cmdc_pdch_modma,MODMA,PDCH,0
dataset_id_audio_egemaps_cmdc_pdch_modma,PDCH,CMDC,0
dataset_id_audio_egemaps_cmdc_pdch_modma,PDCH,MODMA,0
dataset_id_audio_egemaps_cmdc_pdch_modma,PDCH,PDCH,99
dataset_id_text_bge_cmdc_pdch,CMDC,CMDC,77
dataset_id_text_bge_cmdc_pdch,CMDC,PDCH,0
dataset_id_text_bge_cmdc_pdch,PDCH,CMDC,0
dataset_id_text_bge_cmdc_pdch,PDCH,PDCH,99
dataset_id_video_openface_edaic_cmdc_common,CMDC,CMDC,44
dataset_id_video_openface_edaic_cmdc_common,CMDC,E-DAIC,0
dataset_id_video_openface_edaic_cmdc_common,E-DAIC,CMDC,0
dataset_id_video_openface_edaic_cmdc_common,E-DAIC,E-DAIC,219
protocol_modma_task_type_wavlm,affective_task,affective_task,45
protocol_modma_task_type_wavlm,affective_task,interview,3
protocol_modma_task_type_wavlm,affective_task,picture_description,0
protocol_modma_task_type_wavlm,affective_task,reading,4
protocol_modma_task_type_wavlm,interview,affective_task,2
protocol_modma_task_type_wavlm,interview,interview,39
protocol_modma_task_type_wavlm,interview,picture_description,0
protocol_modma_task_type_wavlm,interview,reading,11
protocol_modma_task_type_wavlm,picture_description,affective_task,1
protocol_modma_task_type_wavlm,picture_description,interview,0
protocol_modma_task_type_wavlm,picture_description,picture_description,51
protocol_modma_task_type_wavlm,picture_description,reading,0
protocol_modma_task_type_wavlm,reading,affective_task,1
protocol_modma_task_type_wavlm,reading,interview,11
protocol_modma_task_type_wavlm,reading,picture_description,0
protocol_modma_task_type_wavlm,reading,reading,40
protocol_eatd_valence_wavlm,negative,negative,93
protocol_eatd_valence_wavlm,negative,neutral,29
protocol_eatd_valence_wavlm,negative,positive,40
protocol_eatd_valence_wavlm,neutral,negative,30
protocol_eatd_valence_wavlm,neutral,neutral,86
protocol_eatd_valence_wavlm,neutral,positive,46
protocol_eatd_valence_wavlm,positive,negative,32
protocol_eatd_valence_wavlm,positive,neutral,40
protocol_eatd_valence_wavlm,positive,positive,90
