run_id,dataset,modality,task,model,task_type,metric,mean,std,ci95_low,ci95_high,seed_count,sample_count_mean,ci_scope
mpdd_audio_phq9_wavlm_linear,MPDD-AVG-2026,Audio,PHQ-9 regression,WavLM frozen embedding + linear,severity_regression,CCC,0.05970057953501595,0.021850708011540335,,,5,175.0,not_computed_default_lightweight
mpdd_audio_phq9_wavlm_linear,MPDD-AVG-2026,Audio,PHQ-9 regression,WavLM frozen embedding + linear,severity_regression,MAE,3.1409320876748636,0.03698993644480341,,,5,175.0,not_computed_default_lightweight
mpdd_audio_phq9_wavlm_linear,MPDD-AVG-2026,Audio,PHQ-9 regression,WavLM frozen embedding + linear,severity_regression,RMSE,4.221962857250972,0.05148925433054734,,,5,175.0,not_computed_default_lightweight
mpdd_audio_phq9_wavlm_linear,MPDD-AVG-2026,Audio,PHQ-9 regression,WavLM frozen embedding + linear,severity_regression,Spearman,0.14299656706540778,0.021276339777581525,,,5,175.0,not_computed_default_lightweight
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,ordinal_prediction,Brier Score,0.9216803582795997,0.027376721768795572,,,5,175.0,not_computed_default_lightweight
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,ordinal_prediction,ECE,0.4463461944880029,0.020078043541651727,,,5,175.0,not_computed_default_lightweight
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,ordinal_prediction,Macro-F1,0.3703256142193634,0.007721435976781121,,,5,175.0,not_computed_default_lightweight
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,ordinal_prediction,Ordinal MAE,0.606857142857143,0.019595917942265412,,,5,175.0,not_computed_default_lightweight
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,ordinal_prediction,QWK,0.08823337112129866,0.06430694734365786,,,5,175.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,Brier Score,0.7883806410465963,0.03261962224586317,0.7460870586923178,0.8723801243205539,5,175.0,run_level_subject_bootstrap
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,ECE,0.3420769318021625,0.024295423829906942,0.29473509425910177,0.394808847394304,5,175.0,run_level_subject_bootstrap
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,Macro-F1,0.3919493272542468,0.029337234775000266,0.3156718345431077,0.44666663945632457,5,175.0,run_level_subject_bootstrap
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,Ordinal MAE,0.5737142857142857,0.022160822205331786,0.5062285714285715,0.6415142857142857,5,175.0,run_level_subject_bootstrap
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,QWK,0.09962496718613785,0.06015167068517974,-0.01257738338015919,0.24084260933847168,5,175.0,run_level_subject_bootstrap
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,ordinal_prediction,Brier Score,0.7880611643571109,0.03270622071492085,,,5,175.0,not_computed_default_lightweight
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,ordinal_prediction,ECE,0.3394949027801442,0.0230928579130785,,,5,175.0,not_computed_default_lightweight
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,ordinal_prediction,Macro-F1,0.39330614442359685,0.030138193728808247,,,5,175.0,not_computed_default_lightweight
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,ordinal_prediction,Ordinal MAE,0.5725714285714286,0.023253702799286624,,,5,175.0,not_computed_default_lightweight
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,ordinal_prediction,QWK,0.10085189774404384,0.06196036782163135,,,5,175.0,not_computed_default_lightweight
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,ordinal_prediction,Brier Score,0.7880611643571109,0.03270622071492085,0.7027933160689824,0.9007204713979393,5,175.0,run_level_subject_bootstrap
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,ordinal_prediction,ECE,0.3394949027801442,0.02309285791307851,0.26777089916831137,0.37043142894597403,5,175.0,run_level_subject_bootstrap
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,ordinal_prediction,Macro-F1,0.39330614442359685,0.030138193728808247,0.32178803267366035,0.4450108247341379,5,175.0,run_level_subject_bootstrap
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,ordinal_prediction,Ordinal MAE,0.5725714285714286,0.023253702799286624,0.4957714285714286,0.6593142857142856,5,175.0,run_level_subject_bootstrap
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,ordinal_prediction,QWK,0.10085189774404384,0.06196036782163135,0.006009662440244978,0.21708687003319474,5,175.0,run_level_subject_bootstrap
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,ordinal_prediction,Brier Score,0.6708327814214667,0.014330656562755431,,,5,175.0,not_computed_default_lightweight
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,ordinal_prediction,ECE,0.23171514518290742,0.007896368532259997,,,5,175.0,not_computed_default_lightweight
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,ordinal_prediction,Macro-F1,0.37208636350465124,0.017465676130571782,,,5,175.0,not_computed_default_lightweight
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,ordinal_prediction,Ordinal MAE,0.5714285714285714,0.009561828874675117,,,5,175.0,not_computed_default_lightweight
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,ordinal_prediction,QWK,0.07260995036970028,0.032519447958286325,,,5,175.0,not_computed_default_lightweight
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,ordinal_prediction,Brier Score,0.5875615331619282,0.010484174476461241,,,5,175.0,not_computed_default_lightweight
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,ordinal_prediction,ECE,0.10645126623250474,0.018088028553814212,,,5,175.0,not_computed_default_lightweight
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,ordinal_prediction,Macro-F1,0.39155045414080714,0.014295142087865687,,,5,175.0,not_computed_default_lightweight
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,ordinal_prediction,Ordinal MAE,0.5302857142857142,0.01891765183685353,,,5,175.0,not_computed_default_lightweight
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,ordinal_prediction,QWK,0.12399659775911191,0.04134729697237651,,,5,175.0,not_computed_default_lightweight
