run_id,dataset,modality,task,model,seed,task_type,metric,value,ci95_low,ci95_high,sample_count
mpdd_audio_phq9_wavlm_linear,MPDD-AVG-2026,Audio,PHQ-9 regression,WavLM frozen embedding + linear,0,severity_regression,CCC,0.08224278051463701,,,175
mpdd_audio_phq9_wavlm_linear,MPDD-AVG-2026,Audio,PHQ-9 regression,WavLM frozen embedding + linear,0,severity_regression,MAE,3.0932394598776423,,,175
mpdd_audio_phq9_wavlm_linear,MPDD-AVG-2026,Audio,PHQ-9 regression,WavLM frozen embedding + linear,0,severity_regression,RMSE,4.167464155391492,,,175
mpdd_audio_phq9_wavlm_linear,MPDD-AVG-2026,Audio,PHQ-9 regression,WavLM frozen embedding + linear,0,severity_regression,Spearman,0.16447158032820602,,,175
mpdd_audio_phq9_wavlm_linear,MPDD-AVG-2026,Audio,PHQ-9 regression,WavLM frozen embedding + linear,1,severity_regression,CCC,0.023544219298276527,,,175
mpdd_audio_phq9_wavlm_linear,MPDD-AVG-2026,Audio,PHQ-9 regression,WavLM frozen embedding + linear,1,severity_regression,MAE,3.2038560488232,,,175
mpdd_audio_phq9_wavlm_linear,MPDD-AVG-2026,Audio,PHQ-9 regression,WavLM frozen embedding + linear,1,severity_regression,RMSE,4.2987428327773465,,,175
mpdd_audio_phq9_wavlm_linear,MPDD-AVG-2026,Audio,PHQ-9 regression,WavLM frozen embedding + linear,1,severity_regression,Spearman,0.11004224083037412,,,175
mpdd_audio_phq9_wavlm_linear,MPDD-AVG-2026,Audio,PHQ-9 regression,WavLM frozen embedding + linear,2,severity_regression,CCC,0.0823898227961747,,,175
mpdd_audio_phq9_wavlm_linear,MPDD-AVG-2026,Audio,PHQ-9 regression,WavLM frozen embedding + linear,2,severity_regression,MAE,3.11744282028557,,,175
mpdd_audio_phq9_wavlm_linear,MPDD-AVG-2026,Audio,PHQ-9 regression,WavLM frozen embedding + linear,2,severity_regression,RMSE,4.17334322947672,,,175
mpdd_audio_phq9_wavlm_linear,MPDD-AVG-2026,Audio,PHQ-9 regression,WavLM frozen embedding + linear,2,severity_regression,Spearman,0.16054226165049193,,,175
mpdd_audio_phq9_wavlm_linear,MPDD-AVG-2026,Audio,PHQ-9 regression,WavLM frozen embedding + linear,3,severity_regression,CCC,0.05797850000381926,,,175
