dataset,target,control_id,run_id,primary_metric,metric_mean,full_control_metric_mean,delta_vs_full_control
E-DAIC,phq8_total,full_dialogue,edaic_protocol_full_dialogue_phq8_tfidf_ridge,MAE,4.74519879017583,4.74519879017583,0.0
E-DAIC,phq8_total,front_25,edaic_protocol_front_25_phq8_tfidf_ridge,MAE,4.751477749130095,4.74519879017583,0.006278958954265335
E-DAIC,phq8_total,middle_50,edaic_protocol_middle_50_phq8_tfidf_ridge,MAE,4.713526786770834,4.74519879017583,-0.03167200340499576
E-DAIC,phq8_total,back_25,edaic_protocol_back_25_phq8_tfidf_ridge,MAE,4.773545780757837,4.74519879017583,0.028346990582007514
E-DAIC,phq8_total,train_repeated_turns_removed,edaic_protocol_train_repeated_turns_removed_phq8_tfidf_ridge,MAE,4.746261601238731,4.74519879017583,0.0010628110629014031
E-DAIC,phq8_total,train_repeated_turns_only,edaic_protocol_train_repeated_turns_only_phq8_tfidf_ridge,MAE,4.657964006999075,4.74519879017583,-0.08723478317675504
E-DAIC,binary_label,full_dialogue,edaic_protocol_full_dialogue_binary_tfidf_logistic,Macro-F1,0.44000000000000006,0.44000000000000006,0.0
E-DAIC,binary_label,front_25,edaic_protocol_front_25_binary_tfidf_logistic,Macro-F1,0.5492260061919505,0.44000000000000006,0.10922600619195044
E-DAIC,binary_label,middle_50,edaic_protocol_middle_50_binary_tfidf_logistic,Macro-F1,0.43434343434343436,0.44000000000000006,-0.005656565656565693
E-DAIC,binary_label,back_25,edaic_protocol_back_25_binary_tfidf_logistic,Macro-F1,0.43434343434343436,0.44000000000000006,-0.005656565656565693
E-DAIC,binary_label,train_repeated_turns_removed,edaic_protocol_train_repeated_turns_removed_binary_tfidf_logistic,Macro-F1,0.44000000000000006,0.44000000000000006,0.0
E-DAIC,binary_label,train_repeated_turns_only,edaic_protocol_train_repeated_turns_only_binary_tfidf_logistic,Macro-F1,0.620868180007965,0.44000000000000006,0.1808681800079649
CMDC,binary_label,all_questions,cmdc_protocol_all_questions_binary_tfidf_logistic,Macro-F1,0.8504208935894668,0.8504208935894668,0.0
CMDC,binary_label,q01_only,cmdc_protocol_q01_only_binary_tfidf_logistic,Macro-F1,0.7424749163879598,0.8504208935894668,-0.107945977201507
CMDC,binary_label,q01_q04,cmdc_protocol_q01_q04_binary_tfidf_logistic,Macro-F1,0.7973684210526316,0.8504208935894668,-0.053052472536835205
CMDC,binary_label,q02_only,cmdc_protocol_q02_only_binary_tfidf_logistic,Macro-F1,0.5707915273132664,0.8504208935894668,-0.2796293662762004
CMDC,binary_label,q03_only,cmdc_protocol_q03_only_binary_tfidf_logistic,Macro-F1,0.8171810921649041,0.8504208935894668,-0.03323980142456273
CMDC,binary_label,q04_only,cmdc_protocol_q04_only_binary_tfidf_logistic,Macro-F1,0.6487394957983194,0.8504208935894668,-0.20168139779114747
CMDC,binary_label,q05_only,cmdc_protocol_q05_only_binary_tfidf_logistic,Macro-F1,0.6622807017543859,0.8504208935894668,-0.1881401918350809
CMDC,binary_label,q05_q08,cmdc_protocol_q05_q08_binary_tfidf_logistic,Macro-F1,0.7205081669691469,0.8504208935894668,-0.12991272662031994
CMDC,binary_label,q06_only,cmdc_protocol_q06_only_binary_tfidf_logistic,Macro-F1,0.5266393442622951,0.8504208935894668,-0.32378154932717174
CMDC,binary_label,q07_only,cmdc_protocol_q07_only_binary_tfidf_logistic,Macro-F1,0.6857142857142857,0.8504208935894668,-0.1647066078751811
CMDC,binary_label,q08_only,cmdc_protocol_q08_only_binary_tfidf_logistic,Macro-F1,0.814009661835749,0.8504208935894668,-0.036411231753717854
CMDC,binary_label,q09_only,cmdc_protocol_q09_only_binary_tfidf_logistic,Macro-F1,0.6842218864666523,0.8504208935894668,-0.16619900712281455
CMDC,binary_label,q09_q12,cmdc_protocol_q09_q12_binary_tfidf_logistic,Macro-F1,0.7226890756302522,0.8504208935894668,-0.12773181795921462
CMDC,binary_label,q10_only,cmdc_protocol_q10_only_binary_tfidf_logistic,Macro-F1,0.4759528130671507,0.8504208935894668,-0.3744680805223161
CMDC,binary_label,q11_only,cmdc_protocol_q11_only_binary_tfidf_logistic,Macro-F1,0.5807622504537205,0.8504208935894668,-0.2696586431357463
CMDC,binary_label,q12_only,cmdc_protocol_q12_only_binary_tfidf_logistic,Macro-F1,0.6177422836175265,0.8504208935894668,-0.23267860997194034
CMDC,phq9_total,all_questions,cmdc_protocol_all_questions_phq9_tfidf_ridge,MAE,6.4280737027340535,6.4280737027340535,0.0
CMDC,phq9_total,q01_only,cmdc_protocol_q01_only_phq9_tfidf_ridge,MAE,6.411088255880318,6.4280737027340535,-0.016985446853735375
