protocol_id,protocol_type,train_task,eval_task,seed,fold,train_subjects,validation_subjects,train_positive_subjects,validation_positive_subjects
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,0,fold_1,41,11,18,5
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,0,fold_2,41,11,18,5
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,0,fold_3,42,10,18,5
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,0,fold_4,42,10,19,4
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,0,fold_5,42,10,19,4
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,1,fold_1,41,11,18,5
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,1,fold_2,41,11,18,5
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,1,fold_3,42,10,18,5
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,1,fold_4,42,10,19,4
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,1,fold_5,42,10,19,4
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,2,fold_1,41,11,18,5
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,2,fold_2,41,11,18,5
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,2,fold_3,42,10,18,5
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,2,fold_4,42,10,19,4
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,2,fold_5,42,10,19,4
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,3,fold_1,41,11,18,5
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,3,fold_2,41,11,18,5
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,3,fold_3,42,10,18,5
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,3,fold_4,42,10,19,4
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,3,fold_5,42,10,19,4
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,4,fold_1,41,11,18,5
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,4,fold_2,41,11,18,5
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,4,fold_3,42,10,18,5
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,4,fold_4,42,10,19,4
modma_binary_cross_task_affective_task_to_interview,cross_task,affective_task,interview,4,fold_5,42,10,19,4
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,0,fold_1,41,11,18,5
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,0,fold_2,41,11,18,5
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,0,fold_3,42,10,18,5
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,0,fold_4,42,10,19,4
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,0,fold_5,42,10,19,4
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,1,fold_1,41,11,18,5
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,1,fold_2,41,11,18,5
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,1,fold_3,42,10,18,5
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,1,fold_4,42,10,19,4
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,1,fold_5,42,10,19,4
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,2,fold_1,41,11,18,5
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,2,fold_2,41,11,18,5
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,2,fold_3,42,10,18,5
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,2,fold_4,42,10,19,4
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,2,fold_5,42,10,19,4
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,3,fold_1,41,11,18,5
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,3,fold_2,41,11,18,5
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,3,fold_3,42,10,18,5
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,3,fold_4,42,10,19,4
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,3,fold_5,42,10,19,4
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,4,fold_1,41,11,18,5
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,4,fold_2,41,11,18,5
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,4,fold_3,42,10,18,5
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,4,fold_4,42,10,19,4
modma_binary_cross_task_affective_task_to_picture_description,cross_task,affective_task,picture_description,4,fold_5,42,10,19,4
modma_binary_cross_task_affective_task_to_reading,cross_task,affective_task,reading,0,fold_1,41,11,18,5
