construct_id,construct_label,tier,definition,preferred_evidence,PHQ-8_items,PHQ-8_mapping,PHQ-9_items,PHQ-9_mapping,HAMD-17_items,HAMD-17_mapping,SDS_items,SDS_mapping
C01,depressed_mood_negative_affect,core_shared,"sad, depressed, empty, tearful, or persistently negative affect","language affect, prosody, facial affect, self-report or clinician item",PHQ8_2,direct,PHQ9_2,direct,HAMD01,direct,SDS01;SDS02*;SDS03,partial
C02,anhedonia_low_positive_affect,core_shared,"loss of interest, pleasure, enjoyment, satisfaction, or positive engagement","activity language, reward/interest expressions, affective flattening",PHQ8_1,direct,PHQ9_1,direct,HAMD07*,secondary,SDS18*;SDS20,partial
C03,sleep_disturbance,core_shared,"insomnia, hypersomnia, sleep continuity problems, or sleep timing disturbance",self-report or interview content; weak acoustic evidence only if explicit,PHQ8_3,direct,PHQ9_3,direct,HAMD04;HAMD05;HAMD06,partial,SDS04,direct
C04,fatigue_low_energy,core_shared,"low energy, tiredness, reduced vitality, or effortful activity","self-report, speech energy/prosody, psychomotor tempo",PHQ8_4,direct,PHQ9_4,direct,HAMD07*;HAMD13*,secondary,SDS02*;SDS10;SDS12*,partial
C05,appetite_weight_change,core_shared,"appetite change, eating change, or weight change",self-report or clinician item; behavioral modalities are weak evidence,PHQ8_5,direct,PHQ9_5,direct,HAMD12*;HAMD16,partial,SDS05;SDS07,direct
C06,self_worth_guilt_failure,core_shared,"worthlessness, guilt, failure, blame, or perceived uselessness",language content and self/clinician item,PHQ8_6,direct,PHQ9_6,direct,HAMD02,direct,SDS17,partial
C07,cognition_concentration_decision,core_shared,"difficulty thinking, concentrating, deciding, or mental clarity problems","self-report, interviewer-rated cognition, response latency and coherence",PHQ8_7,direct,PHQ9_7,direct,HAMD08*,secondary,SDS11;SDS16,direct
C08,psychomotor_change,core_shared,"observable or self-rated slowing, agitation, restlessness, or reduced movement","speech timing, facial movement, gait/IMU context, clinician item",PHQ8_8,direct,PHQ9_8,direct,HAMD08;HAMD09,direct,SDS13,direct
C09,death_suicidality,safety_sensitive_shared_except_phq8,"thoughts of death, self-harm, suicide, or feeling like a burden",scale item or explicit clinical text only; do not infer from weak modality cues,,absent,PHQ9_9,direct,HAMD03,direct,SDS19,direct
C10,anxiety_irritability_arousal,hamd_sds_auxiliary,"psychic anxiety, somatic anxiety, irritability, tension, or autonomic arousal","clinician/self item, physiological or prosodic arousal as auxiliary evidence",,absent,,absent,HAMD10;HAMD11,partial,SDS09;SDS15,partial
C11,somatic_vegetative_body,hamd_sds_auxiliary,"gastrointestinal, sexual, hypochondriacal, autonomic, or general somatic complaints",scale item or explicit content; avoid modality-only overinterpretation,,absent,,absent,HAMD11*;HAMD12;HAMD13;HAMD14;HAMD15,partial,SDS06;SDS08;SDS09*,partial
C12,functioning_work_activity,clinician_self_functioning,"work, daily activity, usefulness, ease of action, or functional impairment","language content, clinician-rated work/activity item, activity/gait context",,absent,,absent,HAMD07,partial,SDS12;SDS17*,partial
C13,insight_illness_attribution,hamd_specific,clinician-rated insight or attribution of illness,clinician rating; keep as scale-specific HAMD head,,absent,,absent,HAMD17,direct,,absent
C14,diurnal_circadian_variation,sds_specific_auxiliary,diurnal variation or morning-evening mood/energy pattern,self-report item or temporal diary; current datasets offer limited direct evidence,,absent,,absent,,absent,SDS02,partial
C15,hope_future_outlook,sds_auxiliary,"hopefulness, future outlook, life fullness, or positive future cognition",self-report/language content; map cautiously to PHQ/HAMD mood/guilt constructs,,absent,,absent,,absent,SDS14;SDS18,partial
