scale,item_code,item_label_short,primary_construct_id,secondary_construct_ids,mapping_strength,score_direction,project_aliases
PHQ-8,PHQ8_1,no_interest,C02,,exact,direct,PHQ_8NoInterest
PHQ-8,PHQ8_2,depressed_mood,C01,,exact,direct,PHQ_8Depressed
PHQ-8,PHQ8_3,sleep,C03,,exact,direct,PHQ_8Sleep
PHQ-8,PHQ8_4,fatigue_energy,C04,,exact,direct,PHQ_8Tired
PHQ-8,PHQ8_5,appetite,C05,,exact,direct,PHQ_8Appetite
PHQ-8,PHQ8_6,failure_self_worth,C06,,exact,direct,PHQ_8Failure
PHQ-8,PHQ8_7,concentration,C07,,exact,direct,PHQ_8Concentrating
PHQ-8,PHQ8_8,psychomotor,C08,,exact,direct,PHQ_8Moving
PHQ-9,PHQ9_1,no_interest,C02,,exact,direct,PHQ-1
PHQ-9,PHQ9_2,depressed_mood,C01,,exact,direct,PHQ-2
PHQ-9,PHQ9_3,sleep,C03,,exact,direct,PHQ-3
PHQ-9,PHQ9_4,fatigue_energy,C04,,exact,direct,PHQ-4
PHQ-9,PHQ9_5,appetite,C05,,exact,direct,PHQ-5
PHQ-9,PHQ9_6,failure_self_worth,C06,,exact,direct,PHQ-6
PHQ-9,PHQ9_7,concentration,C07,,exact,direct,PHQ-7
PHQ-9,PHQ9_8,psychomotor,C08,,exact,direct,PHQ-8
PHQ-9,PHQ9_9,death_self_harm,C09,,exact,direct,PHQ-9
HAMD-17,HAMD01,depressed_mood,C01,,exact,direct,HAMD01
HAMD-17,HAMD02,guilt,C06,,exact,direct,HAMD02
HAMD-17,HAMD03,suicide,C09,,exact,direct,HAMD03
HAMD-17,HAMD04,insomnia_initial,C03,,partial,direct,HAMD04
HAMD-17,HAMD05,insomnia_middle,C03,,partial,direct,HAMD05
HAMD-17,HAMD06,insomnia_late,C03,,partial,direct,HAMD06
HAMD-17,HAMD07,work_activities,C12,C02;C04,partial,direct,HAMD07
HAMD-17,HAMD08,retardation,C08,C07,exact,direct,HAMD08
HAMD-17,HAMD09,agitation,C08,,exact,direct,HAMD09
HAMD-17,HAMD10,psychic_anxiety,C10,,exact,direct,HAMD10
HAMD-17,HAMD11,somatic_anxiety,C10,C11,partial,direct,HAMD11
HAMD-17,HAMD12,somatic_gastrointestinal,C11,C05,partial,direct,HAMD12
HAMD-17,HAMD13,somatic_general,C11,C04,partial,direct,HAMD13
HAMD-17,HAMD14,genital_symptoms,C11,,exact,direct,HAMD14
HAMD-17,HAMD15,hypochondriasis,C11,,exact,direct,HAMD15
HAMD-17,HAMD16,weight_loss,C05,,exact,direct,HAMD16
HAMD-17,HAMD17,insight,C13,,exact,direct,HAMD17
SDS,SDS01,depressed_affect,C01,,exact,direct,
SDS,SDS02,morning_variation,C14,C01;C04,partial,reverse,
SDS,SDS03,crying,C01,,partial,direct,
SDS,SDS04,sleep,C03,,exact,direct,
SDS,SDS05,appetite,C05,,exact,reverse,
SDS,SDS06,sexual_interest,C11,,exact,reverse,
SDS,SDS07,weight_loss,C05,,exact,direct,
SDS,SDS08,constipation,C11,,exact,direct,
SDS,SDS09,autonomic_arousal,C10,C11,partial,direct,
SDS,SDS10,fatigue,C04,,exact,direct,
SDS,SDS11,mental_clarity,C07,,exact,reverse,
SDS,SDS12,activity_ease,C12,C04,partial,reverse,
SDS,SDS13,restlessness,C08,,exact,direct,
SDS,SDS14,hope_future,C15,,exact,reverse,
SDS,SDS15,irritability,C10,,partial,direct,
SDS,SDS16,decision_making,C07,,exact,reverse,
SDS,SDS17,usefulness_needed,C06,C12,partial,reverse,
SDS,SDS18,life_fullness,C15,C02,partial,reverse,
SDS,SDS19,death_burden,C09,,exact,direct,
SDS,SDS20,enjoyment,C02,,exact,reverse,
