dataset,label,nonnull_subjects,missing_subjects,min,max,mean,positive_subjects
edaic,binary_label,275,0,0.0,1.0,0.24,66.0
edaic,phq8_total,275,0,0.0,23.0,6.941818181818181,
edaic,phq9_total,0,275,,,,
edaic,hamd17_total,0,275,,,,
edaic,sds_total,0,275,,,,
edaic,severity_label,275,0,0.0,23.0,6.941818181818181,
daicwoz,binary_label,189,0,0.0,1.0,0.2962962962962963,56.0
daicwoz,phq8_total,189,0,0.0,23.0,6.746031746031746,
daicwoz,phq9_total,0,189,,,,
daicwoz,hamd17_total,0,189,,,,
daicwoz,sds_total,0,189,,,,
daicwoz,severity_label,0,189,,,,
cmdc,binary_label,78,0,0.0,1.0,0.3333333333333333,26.0
cmdc,phq8_total,0,78,,,,
cmdc,phq9_total,77,1,0.0,25.0,6.428571428571429,
cmdc,hamd17_total,25,53,9.0,24.0,15.76,
cmdc,sds_total,0,78,,,,
cmdc,severity_label,0,78,,,,
pdch,binary_label,0,100,,,,0.0
pdch,phq8_total,0,100,,,,
pdch,phq9_total,0,100,,,,
pdch,hamd17_total,99,1,1.0,35.0,15.868686868686869,
pdch,sds_total,0,100,,,,
pdch,severity_label,99,1,1.0,35.0,15.868686868686869,
modma,binary_label,52,0,0.0,1.0,0.4423076923076923,23.0
modma,phq8_total,0,52,,,,
modma,phq9_total,52,0,0.0,25.0,9.403846153846153,
modma,hamd17_total,0,52,,,,
modma,sds_total,0,52,,,,
modma,severity_label,0,52,,,,
eatd,binary_label,162,0,0.0,1.0,0.18518518518518517,30.0
eatd,phq8_total,0,162,,,,
eatd,phq9_total,0,162,,,,
eatd,hamd17_total,0,162,,,,
eatd,sds_total,162,0,25.0,82.5,45.65586419753087,
eatd,severity_label,162,0,20.0,66.0,36.52469135802469,
mpdd_avg_2026,binary_label,175,49,0.0,1.0,0.4057142857142857,71.0
mpdd_avg_2026,phq8_total,0,224,,,,
mpdd_avg_2026,phq9_total,175,49,0.0,23.0,4.634285714285714,
mpdd_avg_2026,hamd17_total,0,224,,,,
mpdd_avg_2026,sds_total,0,224,,,,
mpdd_avg_2026,severity_label,175,49,0.0,2.0,0.5257142857142857,
